win,lose,probability
Charlotte Hornets,Indiana Pacers,0.5602116102121114
Golden State Warriors,New Orleans Pelicans,0.94064123132013
Los Angeles Clippers,Detroit Pistons,0.6617931665785619
Oklahoma City Thunder,Miami Heat,0.6590667209910849
Utah Jazz,Philadelphia 76ers,0.8615471953581321
Washington Wizards,Houston Rockets,0.5098727340354624
Minnesota Timberwolves,Brooklyn Nets,0.6218224662009009
Cleveland Cavaliers,Atlanta Hawks,0.6821403309228689
Dallas Mavericks,Los Angeles Lakers,0.7973328304923188
Memphis Grizzlies,Denver Nuggets,0.6170214051657735
Portland Trail Blazers,Phoenix Suns,0.9037102813244121
Sacramento Kings,New Orleans Pelicans,0.6287981968665431
Atlanta Hawks,Chicago Bulls,0.6575164405602385
Charlotte Hornets,Utah Jazz,0.6159332158747974
Golden State Warriors,Dallas Mavericks,0.8668959546027709
Indiana Pacers,Philadelphia 76ers,0.9329810775841588
Los Angeles Clippers,Portland Trail Blazers,0.599490973038661
New York Knicks,Brooklyn Nets,0.7408535503831991
Oklahoma City Thunder,Toronto Raptors,0.5528808794160858
Orlando Magic,Minnesota Timberwolves,0.6054156686287988
Detroit Pistons,Phoenix Suns,0.743382632371314
San Antonio Spurs,Houston Rockets,0.8240196488430648
Boston Celtics,Washington Wizards,0.5975022901283911
Golden State Warriors,Denver Nuggets,0.9194248893672546
Miami Heat,Chicago Bulls,0.6380577648311614
Milwaukee Bucks,New Orleans Pelicans,0.5820252065786373
Sacramento Kings,Los Angeles Lakers,0.7920431370558374
Boston Celtics,New York Knicks,0.7909775658069331
Toronto Raptors,Charlotte Hornets,0.6053230986888041
Oklahoma City Thunder,Los Angeles Clippers,0.610569366539605
Utah Jazz,Orlando Magic,0.5861112865470598
Indiana Pacers,Philadelphia 76ers,0.8868038343807823
Portland Trail Blazers,Sacramento Kings,0.8216404603455284
San Antonio Spurs,Detroit Pistons,0.8224153136762318
Cleveland Cavaliers,Washington Wizards,0.8007485021475205
Atlanta Hawks,Philadelphia 76ers,0.9446951987191824
Chicago Bulls,Washington Wizards,0.5022142588880487
Detroit Pistons,Denver Nuggets,0.6207691676666838
San Antonio Spurs,Houston Rockets,0.8313902614361223
Boston Celtics,Indiana Pacers,0.5347632242967654
Miami Heat,Utah Jazz,0.5985371710087968
Memphis Grizzlies,Milwaukee Bucks,0.5347241318878686
Los Angeles Clippers,Minnesota Timberwolves,0.7776813387083095
New Orleans Pelicans,Los Angeles Lakers,0.7559036308367766
Phoenix Suns,Brooklyn Nets,0.6484792186256908
Toronto Raptors,New York Knicks,0.841450801032791
Cleveland Cavaliers,Charlotte Hornets,0.6864168781769702
Golden State Warriors,Phoenix Suns,0.9603004580359398
Minnesota Timberwolves,Los Angeles Lakers,0.7682385152328545
Oklahoma City Thunder,Orlando Magic,0.8416973592508399
Portland Trail Blazers,Denver Nuggets,0.8330494522499425
Oklahoma City Thunder,Detroit Pistons,0.7545062055296076
Houston Rockets,Philadelphia 76ers,0.9186478121388759
Indiana Pacers,Orlando Magic,0.6981829778784462
Los Angeles Clippers,Brooklyn Nets,0.9127178893833897
Boston Celtics,New Orleans Pelicans,0.7459216607177519
Dallas Mavericks,New York Knicks,0.6320875645485967
San Antonio Spurs,Miami Heat,0.7456265164998221
Utah Jazz,Memphis Grizzlies,0.6357865669678188
Cleveland Cavaliers,Toronto Raptors,0.5722343062771886
Los Angeles Lakers,Brooklyn Nets,0.5552448978872646
Atlanta Hawks,Miami Heat,0.5069972520676643
Charlotte Hornets,Minnesota Timberwolves,0.7304970737377873
Portland Trail Blazers,Chicago Bulls,0.7322416383053535
Atlanta Hawks,Milwaukee Bucks,0.7933888774763623
Boston Celtics,Dallas Mavericks,0.6375728075822799
Denver Nuggets,Phoenix Suns,0.7117088049524785
Cleveland Cavaliers,Indiana Pacers,0.7567950511449815
Los Angeles Clippers,Memphis Grizzlies,0.7639844451261013
Detroit Pistons,New York Knicks,0.6514857181493583
Oklahoma City Thunder,Houston Rockets,0.7553844028261295
Orlando Magic,New Orleans Pelicans,0.6524520461669374
Washington Wizards,Philadelphia 76ers,0.8477520081281926
San Antonio Spurs,Sacramento Kings,0.8925429710978546
Golden State Warriors,Toronto Raptors,0.7545555343270259
Portland Trail Blazers,Houston Rockets,0.5480964695410939
Miami Heat,Milwaukee Bucks,0.7790559176965105
Minnesota Timberwolves,Philadelphia 76ers,0.8536787344762745
Utah Jazz,Chicago Bulls,0.5540773880944656
Washington Wizards,New York Knicks,0.7065835230230181
Golden State Warriors,Boston Celtics,0.8117303172535831
Charlotte Hornets,Atlanta Hawks,0.5112374999304037
Cleveland Cavaliers,Detroit Pistons,0.7676644520405311
Dallas Mavericks,Memphis Grizzlies,0.6260214927102982
Toronto Raptors,Denver Nuggets,0.8017092090670556
Indiana Pacers,Phoenix Suns,0.8430071356197595
San Antonio Spurs,Los Angeles Lakers,0.9578953825716872
Portland Trail Blazers,New Orleans Pelicans,0.7153248545322362
Oklahoma City Thunder,Brooklyn Nets,0.9422692199967433
Los Angeles Clippers,Sacramento Kings,0.7527459413319029
Boston Celtics,Detroit Pistons,0.5715922304032374
Houston Rockets,Utah Jazz,0.5176896356005614
Los Angeles Clippers,Chicago Bulls,0.6973448031752845
Memphis Grizzlies,Minnesota Timberwolves,0.6186870912833841
Golden State Warriors,Milwaukee Bucks,0.9298390157357587
Charlotte Hornets,New Orleans Pelicans,0.743680477511201
Dallas Mavericks,Orlando Magic,0.5644738238723587
Phoenix Suns,Philadelphia 76ers,0.6052784865936995
Miami Heat,Washington Wizards,0.6056120967651787
Portland Trail Blazers,Brooklyn Nets,0.8230364178214223
Utah Jazz,Denver Nuggets,0.6217527384031739
Chicago Bulls,Los Angeles Lakers,0.7842673482036446
Atlanta Hawks,New York Knicks,0.7421399668386865
Oklahoma City Thunder,Indiana Pacers,0.7072434008285688
Toronto Raptors,Sacramento Kings,0.7942440491863911
Charlotte Hornets,Memphis Grizzlies,0.7270797463844443
Detroit Pistons,Houston Rockets,0.5364886168688009
Golden State Warriors,Indiana Pacers,0.8398996034731397
Toronto Raptors,Los Angeles Clippers,0.5579636531036167
Orlando Magic,Milwaukee Bucks,0.5220051654008598
Boston Celtics,Minnesota Timberwolves,0.732812114171659
Miami Heat,Philadelphia 76ers,0.9073245714394702
San Antonio Spurs,Dallas Mavericks,0.8344073983335555
Washington Wizards,Phoenix Suns,0.8061185560426024
Atlanta Hawks,New Orleans Pelicans,0.8119030088106978
Chicago Bulls,Denver Nuggets,0.5816191873102357
Oklahoma City Thunder,Los Angeles Lakers,0.9377358530296536
Portland Trail Blazers,New York Knicks,0.7096175017554613
Boston Celtics,Brooklyn Nets,0.8445718620470979
San Antonio Spurs,Charlotte Hornets,0.767451861940957
Cleveland Cavaliers,Portland Trail Blazers,0.7165107922570124
Los Angeles Clippers,Dallas Mavericks,0.6581310102334665
Miami Heat,Detroit Pistons,0.5798570007014512
Golden State Warriors,Los Angeles Lakers,0.9726998304043447
Toronto Raptors,Houston Rockets,0.6961918609991244
Atlanta Hawks,Indiana Pacers,0.5367539868610662
New Orleans Pelicans,Minnesota Timberwolves,0.5295598690810193
Orlando Magic,Phoenix Suns,0.7413083025051926
Memphis Grizzlies,Philadelphia 76ers,0.7892924727778832
Oklahoma City Thunder,Sacramento Kings,0.8461195943205716
Utah Jazz,Denver Nuggets,0.69392392985626
San Antonio Spurs,Boston Celtics,0.7667462797009174
Cleveland Cavaliers,Dallas Mavericks,0.7823754420355358
Oklahoma City Thunder,Denver Nuggets,0.8520532163622461
Los Angeles Clippers,Detroit Pistons,0.6298604576806598
Indiana Pacers,Brooklyn Nets,0.8765598917063062
Golden State Warriors,Los Angeles Lakers,0.9675744204887913
Miami Heat,Memphis Grizzlies,0.678134559047566
Toronto Raptors,Milwaukee Bucks,0.8244325316174819
Charlotte Hornets,New York Knicks,0.7383336619601594
Washington Wizards,Orlando Magic,0.5589223587729318
Chicago Bulls,Philadelphia 76ers,0.8403225307352313
Minnesota Timberwolves,Phoenix Suns,0.5724391847742301
Portland Trail Blazers,New Orleans Pelicans,0.860109852182952
Houston Rockets,Sacramento Kings,0.6071811854853155
Atlanta Hawks,Utah Jazz,0.5933366091803016
Charlotte Hornets,New York Knicks,0.7903238618822164
Golden State Warriors,Minnesota Timberwolves,0.928322968823414
Miami Heat,Memphis Grizzlies,0.7123670513236529
Oklahoma City Thunder,Detroit Pistons,0.7533416498177751
San Antonio Spurs,Washington Wizards,0.8378080881194896
Sacramento Kings,Brooklyn Nets,0.6420423152219835
Dallas Mavericks,New Orleans Pelicans,0.7281782769342794
Los Angeles Clippers,Indiana Pacers,0.5944868877963707
Atlanta Hawks,Los Angeles Lakers,0.868258187173935
Orlando Magic,Milwaukee Bucks,0.6254829974098145
Cleveland Cavaliers,Philadelphia 76ers,0.9624378002265735
Denver Nuggets,Phoenix Suns,0.5741649518744529
Portland Trail Blazers,Houston Rockets,0.7013342168521662
Golden State Warriors,Atlanta Hawks,0.7954100260731733
Charlotte Hornets,Memphis Grizzlies,0.6680957281264617
Boston Celtics,Miami Heat,0.5049965427864085
Utah Jazz,Minnesota Timberwolves,0.6432680205575261
Oklahoma City Thunder,New York Knicks,0.8680193154685332
Toronto Raptors,Philadelphia 76ers,0.95960567022776
Washington Wizards,Sacramento Kings,0.6711383588913992
Los Angeles Clippers,Brooklyn Nets,0.8739025866017918
Charlotte Hornets,Detroit Pistons,0.6169215890969583
Cleveland Cavaliers,Milwaukee Bucks,0.8871471196971261
New Orleans Pelicans,Los Angeles Lakers,0.7559036308367766
San Antonio Spurs,Orlando Magic,0.889652368723366
Utah Jazz,Houston Rockets,0.5161925096817357
Boston Celtics,Detroit Pistons,0.61785450352815
Chicago Bulls,Los Angeles Lakers,0.8436581487208699
San Antonio Spurs,Dallas Mavericks,0.8400565176956529
Miami Heat,Denver Nuggets,0.7211535695492748
Minnesota Timberwolves,New York Knicks,0.5658600555690106
Oklahoma City Thunder,Washington Wizards,0.7726714171913402
Atlanta Hawks,Phoenix Suns,0.8168529077484025
Portland Trail Blazers,Indiana Pacers,0.6475195756424694
Toronto Raptors,Memphis Grizzlies,0.7895209835473861
Milwaukee Bucks,Brooklyn Nets,0.6016839027060099
Charlotte Hornets,Dallas Mavericks,0.6366597225007062
Cleveland Cavaliers,Los Angeles Clippers,0.6291008912846064
Golden State Warriors,Houston Rockets,0.8581998915317361
Memphis Grizzlies,Orlando Magic,0.5662486208605092
Miami Heat,Utah Jazz,0.5995542351839742
Atlanta Hawks,Detroit Pistons,0.6198368394068298
Boston Celtics,Sacramento Kings,0.7622976473416072
Cleveland Cavaliers,Chicago Bulls,0.8201754599579957
Houston Rockets,Denver Nuggets,0.6181704945937172
Los Angeles Clippers,New Orleans Pelicans,0.7892225958431689
New York Knicks,Minnesota Timberwolves,0.5364946172756502
Orlando Magic,Philadelphia 76ers,0.7806782004510361
San Antonio Spurs,Washington Wizards,0.8374996463879882
Toronto Raptors,Los Angeles Lakers,0.9310206470981026
Charlotte Hornets,Minnesota Timberwolves,0.7770083951709846
Dallas Mavericks,Chicago Bulls,0.5436938757599019
Golden State Warriors,Phoenix Suns,0.9603004580359398
Memphis Grizzlies,Los Angeles Lakers,0.8169700431798254
Milwaukee Bucks,Brooklyn Nets,0.7375960336987739
Boston Celtics,Philadelphia 76ers,0.904439931111459
Portland Trail Blazers,Miami Heat,0.5951407806153822
Toronto Raptors,Atlanta Hawks,0.5955943835688666
Utah Jazz,Denver Nuggets,0.69392392985626
Detroit Pistons,Orlando Magic,0.6658751568076237
Los Angeles Clippers,Indiana Pacers,0.6074996337348452
New York Knicks,Sacramento Kings,0.5148181530512895
Oklahoma City Thunder,New Orleans Pelicans,0.8899354633464398
Oklahoma City Thunder,Atlanta Hawks,0.6833318796274386
Washington Wizards,Brooklyn Nets,0.7617255069034545
Portland Trail Blazers,Chicago Bulls,0.5905009045593888
Charlotte Hornets,Dallas Mavericks,0.5986677935790637
Golden State Warriors,Indiana Pacers,0.8256222220208351
Boston Celtics,Houston Rockets,0.5862713542760994
Utah Jazz,Los Angeles Lakers,0.8112695501034266
San Antonio Spurs,Milwaukee Bucks,0.9099443399636931
Memphis Grizzlies,New Orleans Pelicans,0.5374504758571997
Denver Nuggets,Philadelphia 76ers,0.7425491218171973
Cleveland Cavaliers,Toronto Raptors,0.6458312788773932
Detroit Pistons,Chicago Bulls,0.5740955082866214
Memphis Grizzlies,Philadelphia 76ers,0.8870855905158805
Miami Heat,New York Knicks,0.7779794675145151
San Antonio Spurs,Minnesota Timberwolves,0.9051562962662087
Utah Jazz,Phoenix Suns,0.8100416135562225
Washington Wizards,Orlando Magic,0.6417273335012739
Atlanta Hawks,Miami Heat,0.5078691173869062
Denver Nuggets,Brooklyn Nets,0.6234800132762484
Charlotte Hornets,Detroit Pistons,0.6169215890969583
Dallas Mavericks,Sacramento Kings,0.6674553427100565
Houston Rockets,Los Angeles Lakers,0.8651519191259504
Golden State Warriors,Los Angeles Clippers,0.7808195823344841
Portland Trail Blazers,Milwaukee Bucks,0.7130872422201798
Cleveland Cavaliers,New York Knicks,0.8854441902577126
Boston Celtics,Orlando Magic,0.6829307086909641
Indiana Pacers,Phoenix Suns,0.7855160682191251
San Antonio Spurs,Chicago Bulls,0.8542792982130589
Portland Trail Blazers,Memphis Grizzlies,0.6354770108202661
New Orleans Pelicans,Philadelphia 76ers,0.8449735505554488
Toronto Raptors,Minnesota Timberwolves,0.8306865723519408
Golden State Warriors,Utah Jazz,0.8685245539281514
Washington Wizards,Denver Nuggets,0.6885248928058275
Toronto Raptors,Boston Celtics,0.6043791806145247
Charlotte Hornets,Orlando Magic,0.7370902346086575
Cleveland Cavaliers,Miami Heat,0.6765131431109547
Indiana Pacers,Dallas Mavericks,0.555433499689773
Phoenix Suns,Los Angeles Lakers,0.5143931233259964
Atlanta Hawks,Milwaukee Bucks,0.7453605485571775
Detroit Pistons,Minnesota Timberwolves,0.6423082107450557
Oklahoma City Thunder,Houston Rockets,0.7553844028261295
Sacramento Kings,New York Knicks,0.5996179670964992
Miami Heat,Chicago Bulls,0.6354019641584048
Cleveland Cavaliers,Charlotte Hornets,0.6864168781769702
Houston Rockets,Dallas Mavericks,0.5397562793159416
Indiana Pacers,Portland Trail Blazers,0.5040779701037915
Los Angeles Clippers,New Orleans Pelicans,0.8381955369826104
Golden State Warriors,Memphis Grizzlies,0.9028745175033633
Orlando Magic,Denver Nuggets,0.6037291412227573
San Antonio Spurs,Brooklyn Nets,0.9611634924758992
Utah Jazz,Sacramento Kings,0.6766972572779343
Washington Wizards,Milwaukee Bucks,0.7078761521703955
Detroit Pistons,Philadelphia 76ers,0.9230364750298572
New York Knicks,Los Angeles Lakers,0.6465078302597321
Golden State Warriors,Minnesota Timberwolves,0.9260227304305342
Oklahoma City Thunder,Boston Celtics,0.6666281801061187
New Orleans Pelicans,Phoenix Suns,0.5224991374806014
Dallas Mavericks,Denver Nuggets,0.6849451868390323
Houston Rockets,Brooklyn Nets,0.8520731043791798
Charlotte Hornets,Indiana Pacers,0.5318284887562731
Los Angeles Clippers,Portland Trail Blazers,0.599490973038661
Miami Heat,Washington Wizards,0.6249228768925357
Sacramento Kings,Los Angeles Lakers,0.7920431370558374
Toronto Raptors,Milwaukee Bucks,0.8422819018054294
Atlanta Hawks,Orlando Magic,0.7394771788923993
Chicago Bulls,Minnesota Timberwolves,0.6623376723030328
Cleveland Cavaliers,Memphis Grizzlies,0.8453419095103751
Golden State Warriors,New Orleans Pelicans,0.9305508312383811
New York Knicks,Phoenix Suns,0.5531109657565669
Oklahoma City Thunder,Portland Trail Blazers,0.6023692587002472
Brooklyn Nets,Los Angeles Lakers,0.6259034942421509
Dallas Mavericks,Detroit Pistons,0.502957987452642
Houston Rockets,Sacramento Kings,0.6813177952843918
Cleveland Cavaliers,Memphis Grizzlies,0.8464840016961996
Miami Heat,Indiana Pacers,0.5421677246577804
Los Angeles Clippers,Orlando Magic,0.7331259934595872
Toronto Raptors,Philadelphia 76ers,0.9386712930813259
San Antonio Spurs,Boston Celtics,0.751990613662943
Oklahoma City Thunder,Utah Jazz,0.7692735001367137
Charlotte Hornets,Washington Wizards,0.5946633390067096
Portland Trail Blazers,Denver Nuggets,0.681519809895744
Golden State Warriors,New York Knicks,0.9333777251752156
Chicago Bulls,Milwaukee Bucks,0.6175316465071792
Indiana Pacers,New Orleans Pelicans,0.7084604582589665
San Antonio Spurs,Phoenix Suns,0.9390093867644673
Boston Celtics,Charlotte Hornets,0.5171687926160634
Chicago Bulls,Milwaukee Bucks,0.6810352976508528
Houston Rockets,New Orleans Pelicans,0.7404936007938513
Memphis Grizzlies,Sacramento Kings,0.597974059970698
Los Angeles Clippers,Miami Heat,0.565436195528326
Orlando Magic,Brooklyn Nets,0.7912131433622778
Los Angeles Lakers,Philadelphia 76ers,0.5100566722912376
Toronto Raptors,Atlanta Hawks,0.5955943835688666
Utah Jazz,Dallas Mavericks,0.5344856287781231
Washington Wizards,Detroit Pistons,0.5071175081956611
Atlanta Hawks,Charlotte Hornets,0.5192670424755503
Cleveland Cavaliers,Los Angeles Lakers,0.9516144219957512
Denver Nuggets,New York Knicks,0.5884501862289366
Indiana Pacers,Detroit Pistons,0.5248023865674307
Golden State Warriors,Portland Trail Blazers,0.8207509797571922
Houston Rockets,Minnesota Timberwolves,0.6397714845994567
Oklahoma City Thunder,Phoenix Suns,0.9250500072774197
Dallas Mavericks,Sacramento Kings,0.6674553427100565
Utah Jazz,Memphis Grizzlies,0.5724895197751151
Boston Celtics,Miami Heat,0.5049965427864085
Toronto Raptors,Orlando Magic,0.7769412492565825
Brooklyn Nets,Philadelphia 76ers,0.536941137097555
San Antonio Spurs,New Orleans Pelicans,0.9245868487955559
Los Angeles Clippers,Washington Wizards,0.6543773396761258
Detroit Pistons,Chicago Bulls,0.52450177330004
Dallas Mavericks,Denver Nuggets,0.6007091883051385
Indiana Pacers,Washington Wizards,0.5965729394624844
Minnesota Timberwolves,Phoenix Suns,0.692347145382134
Oklahoma City Thunder,Atlanta Hawks,0.6648470449715911
Charlotte Hornets,Los Angeles Lakers,0.905534466996186
Golden State Warriors,Utah Jazz,0.8563395458977496
San Antonio Spurs,Houston Rockets,0.8313902614361223
Los Angeles Clippers,Denver Nuggets,0.8078430832333435
Boston Celtics,Memphis Grizzlies,0.670705165925378
Miami Heat,Orlando Magic,0.7227113812331494
Cleveland Cavaliers,Milwaukee Bucks,0.8871471196971261
Indiana Pacers,New York Knicks,0.7026726866198503
New Orleans Pelicans,Philadelphia 76ers,0.7006621164137625
Portland Trail Blazers,Sacramento Kings,0.6713845160694096
Toronto Raptors,Brooklyn Nets,0.9237674656875107
Atlanta Hawks,Minnesota Timberwolves,0.7791415169413015
Chicago Bulls,Washington Wizards,0.5022142588880487
Cleveland Cavaliers,Milwaukee Bucks,0.8861283047607648
Detroit Pistons,Memphis Grizzlies,0.6544243856268596
Oklahoma City Thunder,New Orleans Pelicans,0.8711785255245598
Houston Rockets,Phoenix Suns,0.7412739821892069
Portland Trail Blazers,Dallas Mavericks,0.7164720553670941
Utah Jazz,Sacramento Kings,0.6766972572779343
Golden State Warriors,Brooklyn Nets,0.9612405465122484
Boston Celtics,Indiana Pacers,0.5347632242967654
San Antonio Spurs,Los Angeles Clippers,0.7308983716417341
Miami Heat,Los Angeles Lakers,0.8991070360549843
Orlando Magic,New York Knicks,0.5177872547816958
Oklahoma City Thunder,Boston Celtics,0.6851476445595155
Charlotte Hornets,Chicago Bulls,0.6547291818666808
Cleveland Cavaliers,Brooklyn Nets,0.9464020146192054
Atlanta Hawks,Denver Nuggets,0.7159294266505382
Golden State Warriors,Detroit Pistons,0.8589448829092673
Los Angeles Clippers,Dallas Mavericks,0.6804169771871872
Houston Rockets,Memphis Grizzlies,0.5687643147343217
Washington Wizards,Milwaukee Bucks,0.6307724400362202
Minnesota Timberwolves,Sacramento Kings,0.5248469324782463
Miami Heat,New Orleans Pelicans,0.7522808269781942
Orlando Magic,Los Angeles Lakers,0.8084632712823142
Phoenix Suns,Philadelphia 76ers,0.7833882929618193
San Antonio Spurs,Portland Trail Blazers,0.6958991748222859
Toronto Raptors,Utah Jazz,0.7006570342712932
Golden State Warriors,Cleveland Cavaliers,0.678431788813918
Los Angeles Clippers,Los Angeles Lakers,0.8929188669932472
Boston Celtics,New York Knicks,0.7406052894813244
Oklahoma City Thunder,Minnesota Timberwolves,0.8685649389579182
San Antonio Spurs,Chicago Bulls,0.8450362460297148
Charlotte Hornets,Brooklyn Nets,0.8430177236654619
Indiana Pacers,Chicago Bulls,0.5823838318494066
Cleveland Cavaliers,Detroit Pistons,0.7831741777659103
Houston Rockets,Phoenix Suns,0.8132822715734602
Los Angeles Clippers,Denver Nuggets,0.8078430832333435
Atlanta Hawks,Minnesota Timberwolves,0.7343763621496395
Dallas Mavericks,New Orleans Pelicans,0.6385425501015843
Orlando Magic,Memphis Grizzlies,0.5398209566974791
Toronto Raptors,Portland Trail Blazers,0.5153856097147929
Sacramento Kings,Philadelphia 76ers,0.8701904790830042
Washington Wizards,Milwaukee Bucks,0.7078761521703955
Boston Celtics,Memphis Grizzlies,0.7278627308868344
Dallas Mavericks,Houston Rockets,0.5057138016204084
Utah Jazz,Los Angeles Lakers,0.8112695501034266
Oklahoma City Thunder,Miami Heat,0.7014952517362765
Atlanta Hawks,New York Knicks,0.7923636466273631
Chicago Bulls,Brooklyn Nets,0.8289069340217363
Denver Nuggets,Minnesota Timberwolves,0.5693011831535052
Detroit Pistons,Milwaukee Bucks,0.7294452108040244
Golden State Warriors,Toronto Raptors,0.7078980940834888
Los Angeles Clippers,New Orleans Pelicans,0.7892225958431689
Charlotte Hornets,Orlando Magic,0.6803719817654463
Portland Trail Blazers,Sacramento Kings,0.8216404603455284
San Antonio Spurs,Phoenix Suns,0.9492764576997731
Indiana Pacers,Washington Wizards,0.5513209663089269
Charlotte Hornets,Miami Heat,0.5047812426137012
Cleveland Cavaliers,Boston Celtics,0.6838732616403089
Dallas Mavericks,Los Angeles Lakers,0.7973328304923188
Oklahoma City Thunder,Memphis Grizzlies,0.8243088419718927
Toronto Raptors,Phoenix Suns,0.8773769714090631
Utah Jazz,Philadelphia 76ers,0.9170493503374602
Atlanta Hawks,Detroit Pistons,0.6198368394068298
Boston Celtics,Miami Heat,0.5057684689993053
Denver Nuggets,Philadelphia 76ers,0.8648689133252635
Golden State Warriors,Dallas Mavericks,0.8668959546027709
Los Angeles Clippers,Houston Rockets,0.6437872787705246
Indiana Pacers,Chicago Bulls,0.6100811693729628
